State,Date,Sex,Ethnicity,Population,Event_Type,Area
Sarawak,01/01/2022,Male,Chinese,2569,Death,124450
Sarawak,01/01/2022,Female,Chinese,1732,Death,124450
Selangor,01/01/2022,Male,Chinese,5938,Death,8104
Selangor,01/01/2022,Female,Chinese,4380,Death,8104
Terengganu,01/01/2022,Male,Chinese,141,Death,13035
Terengganu,01/01/2022,Female,Chinese,100,Death,13035
W.P. Kuala Lumpur,01/01/2022,Male,Chinese,2677,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Chinese,2082,Death,243
W.P. Labuan,01/01/2022,Male,Chinese,51,Death,91
W.P. Labuan,01/01/2022,Female,Chinese,28,Death,91
W.P. Putrajaya,01/01/2022,Male,Chinese,1,Death,49
W.P. Putrajaya,01/01/2022,Female,Chinese,3,Death,49
Johor,01/01/2022,Both,Indian,1912,Death,19210
Kedah,01/01/2022,Both,Indian,1167,Death,9500
Kelantan,01/01/2022,Both,Indian,36,Death,15099
Melaka,01/01/2022,Both,Indian,503,Death,1664
Negeri Sembilan,01/01/2022,Both,Indian,1371,Death,6686
Pahang,01/01/2022,Both,Indian,465,Death,36137
Perak,01/01/2022,Both,Indian,2763,Death,21035
Perlis,01/01/2022,Both,Indian,30,Death,821
Pulau Pinang,01/01/2022,Both,Indian,1678,Death,1048
Sabah,01/01/2022,Both,Indian,49,Death,72631
Sarawak,01/01/2022,Both,Indian,39,Death,124450
Selangor,01/01/2022,Both,Indian,5517,Death,8104
Terengganu,01/01/2022,Both,Indian,21,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Indian,1370,Death,243
W.P. Labuan,01/01/2022,Both,Indian,5,Death,91
W.P. Putrajaya,01/01/2022,Both,Indian,9,Death,49
Johor,01/01/2022,Male,Indian,1160,Death,19210
Johor,01/01/2022,Female,Indian,752,Death,19210
Kedah,01/01/2022,Male,Indian,693,Death,9500
Kedah,01/01/2022,Female,Indian,474,Death,9500
Kelantan,01/01/2022,Male,Indian,22,Death,15099
Kelantan,01/01/2022,Female,Indian,14,Death,15099
Melaka,01/01/2022,Male,Indian,299,Death,1664
Melaka,01/01/2022,Female,Indian,204,Death,1664
Negeri Sembilan,01/01/2022,Male,Indian,820,Death,6686
Negeri Sembilan,01/01/2022,Female,Indian,551,Death,6686
Pahang,01/01/2022,Male,Indian,277,Death,36137
Pahang,01/01/2022,Female,Indian,188,Death,36137
Perak,01/01/2022,Male,Indian,1714,Death,21035
Perak,01/01/2022,Female,Indian,1049,Death,21035
Perlis,01/01/2022,Male,Indian,18,Death,821
Perlis,01/01/2022,Female,Indian,12,Death,821
Pulau Pinang,01/01/2022,Male,Indian,1014,Death,1048
Pulau Pinang,01/01/2022,Female,Indian,664,Death,1048
Sabah,01/01/2022,Male,Indian,30,Death,72631
Sabah,01/01/2022,Female,Indian,19,Death,72631
Sarawak,01/01/2022,Male,Indian,24,Death,124450
Sarawak,01/01/2022,Female,Indian,15,Death,124450
Selangor,01/01/2022,Male,Indian,3262,Death,8104
Selangor,01/01/2022,Female,Indian,2255,Death,8104
Terengganu,01/01/2022,Male,Indian,10,Death,13035
Terengganu,01/01/2022,Female,Indian,11,Death,13035
