state,date,sex,ethnicity,abs
Pulau Pinang,2000-01-01,both,overall,27337
Pulau Pinang,2001-01-01,both,overall,24712
Pulau Pinang,2002-01-01,both,overall,24775
Pulau Pinang,2003-01-01,both,overall,23467
Pulau Pinang,2004-01-01,both,overall,22943
Pulau Pinang,2005-01-01,both,overall,22559
Pulau Pinang,2006-01-01,both,overall,22003
Pulau Pinang,2007-01-01,both,overall,22429
Pulau Pinang,2008-01-01,both,overall,22952
Pulau Pinang,2009-01-01,both,overall,22777
Pulau Pinang,2010-01-01,both,overall,21172
Pulau Pinang,2011-01-01,both,overall,22353
Pulau Pinang,2012-01-01,both,overall,23794
Pulau Pinang,2013-01-01,both,overall,21499
Pulau Pinang,2014-01-01,both,overall,22877
Pulau Pinang,2015-01-01,both,overall,22242
Pulau Pinang,2016-01-01,both,overall,21781
Pulau Pinang,2017-01-01,both,overall,21464
Pulau Pinang,2018-01-01,both,overall,20705
Pulau Pinang,2019-01-01,both,overall,20200
Pulau Pinang,2020-01-01,both,overall,19645
Pulau Pinang,2021-01-01,both,overall,18571
Pulau Pinang,2022-01-01,both,overall,17731
Sabah,2000-01-01,both,overall,49308
Sabah,2001-01-01,both,overall,48990
Sabah,2002-01-01,both,overall,46119
Sabah,2003-01-01,both,overall,44388
Sabah,2004-01-01,both,overall,46170
Sabah,2005-01-01,both,overall,47160
Sabah,2006-01-01,both,overall,46142
Sabah,2007-01-01,both,overall,47017
Sabah,2008-01-01,both,overall,50272
Sabah,2009-01-01,both,overall,52782
Sabah,2010-01-01,both,overall,54134
Sabah,2011-01-01,both,overall,54990
Sabah,2012-01-01,both,overall,58185
Sabah,2013-01-01,both,overall,56823
Sabah,2014-01-01,both,overall,57397
Sabah,2015-01-01,both,overall,54699
Sabah,2016-01-01,both,overall,52071
Sabah,2017-01-01,both,overall,52528
Sabah,2018-01-01,both,overall,53025
Sabah,2019-01-01,both,overall,52973
Sabah,2020-01-01,both,overall,49587
Sabah,2021-01-01,both,overall,41608
Sabah,2022-01-01,both,overall,43617
Sarawak,2000-01-01,both,overall,47920
Sarawak,2001-01-01,both,overall,46098
Sarawak,2002-01-01,both,overall,44929
Sarawak,2003-01-01,both,overall,44068
